year,month,salary_min_aud,salary_max_aud,salary_median_aud,number_of_openings,demand_index,remote_availability,salary_range_aud,salary_variability,salary_bracket,salary_log_median,quarter,month_name,is_high_demand,openings_level,experience_numeric,remote_flag,metro_city,cost_region,city_salary_adjusted_index,job_market_pressure,competitiveness_score,seasonal_hiring_score,job_title_encoded,industry_encoded,city_encoded,region_encoded,education_requirement_encoded,job_type_encoded,skills_required_encoded,hiring_trend_encoded,season_encoded
2025,6,57278,116916,87097,27,81,Yes,59638,0.684730817356686,Medium,11.374789200464448,2,Jun,1,High,1,1,1,High,108871.25,0.3292682926829268,60.94146341463415,3,12,8,8,6,0,0,8,2,3
2025,3,68620,141032,104826,20,79,No,72412,0.6907828210492551,Medium,11.560066651275031,1,Mar,1,Medium,2,0,1,Low,94343.4,0.25,56.9,2,6,6,0,4,0,1,6,2,0
2025,2,59763,82747,71255,13,70,No,22984,0.3225598203589565,Medium,11.174034305111704,1,Feb,1,Medium,2,0,0,Low,64129.5,0.1830985915492957,51.63380281690141,1,6,6,7,5,0,0,6,2,2
2025,12,43683,80791,62237,22,83,No,37108,0.5962369651397683,Low,11.038721024659882,4,Dec,1,High,2,0,1,Medium,68460.70000000001,0.2619047619047619,59.27619047619047,1,3,11,3,0,4,0,3,2,2
2025,10,77842,131194,104518,7,75,Yes,53352,0.5104575288418219,Medium,11.557124152041895,4,Oct,1,Medium,3,1,1,Low,94066.2,0.0921052631578947,67.8157894736842,4,9,7,0,4,3,1,7,2,1
2025,12,71607,105015,88311,22,57,No,33408,0.3782994190941299,Medium,11.388631277698186,4,Dec,0,High,2,0,1,High,110388.75,0.3793103448275862,43.44137931034482,1,13,3,12,1,0,2,14,1,2
2025,9,44865,72443,58654,26,52,Yes,27578,0.4701810618121495,Low,10.97942810193982,3,Sep,0,High,1,1,0,Low,52788.6,0.490566037735849,43.218867924528304,4,7,9,13,3,0,2,11,1,1
2025,12,59449,84751,72100,42,71,Yes,25302,0.3509292649049802,Medium,11.185823192802378,4,Dec,1,High,1,1,1,Medium,79310.0,0.5833333333333334,54.43333333333334,1,7,9,10,7,0,0,11,2,2
2025,7,46978,100018,73498,19,54,No,53040,0.7216522898484088,Medium,11.205027079666197,3,Jul,0,Medium,1,0,0,Low,66148.2,0.3454545454545454,36.70909090909091,3,4,8,5,6,3,0,9,1,3
2025,10,44975,74869,59922,48,78,No,29894,0.4988818797687179,Low,11.000815683693476,4,Oct,1,High,1,0,0,Low,53929.8,0.6075949367088608,50.58481012658228,4,11,10,5,6,0,1,13,2,1
2025,12,69926,97784,83855,29,58,No,27858,0.3322163257965271,Medium,11.336856321041948,4,Dec,0,High,2,0,1,Low,75469.5,0.4915254237288136,43.81694915254237,1,2,1,0,4,2,2,1,1,2
2025,5,72391,126167,99279,21,60,No,53776,0.5416654075832587,Medium,11.50569941987849,2,May,1,High,2,0,0,Low,89351.1,0.3442622950819672,45.31147540983606,2,7,9,7,5,4,0,11,1,0
2025,7,53355,108817,81086,43,95,Yes,55462,0.6839898379413958,Medium,11.30327793132379,3,Jul,1,High,2,1,1,Low,72977.40000000001,0.4479166666666667,74.10416666666667,3,1,0,0,4,3,2,12,2,3
2025,3,49841,70485,60163,36,63,No,20644,0.3431344846443306,Low,11.004829445775105,1,Mar,1,High,1,0,0,Low,54146.7,0.5625,41.675,2,9,7,7,5,3,2,7,2,0
2025,10,51980,110528,81254,34,82,No,58548,0.7205552957304188,Medium,11.305347636760107,4,Oct,1,High,2,0,1,Low,73128.6,0.4096385542168674,58.38072289156626,4,6,6,0,4,0,0,6,2,1
2025,9,71047,137719,104383,19,54,No,66672,0.6387246965440855,Medium,11.555831685980683,3,Sep,0,Medium,1,0,1,High,130478.75,0.3454545454545454,36.70909090909091,4,5,8,12,1,0,0,0,1,1
2025,5,49578,104296,76937,25,82,No,54718,0.711205271836552,Medium,11.25075518168717,2,May,1,High,2,0,0,Low,69243.3,0.3012048192771084,58.59759036144578,2,9,7,7,5,0,2,7,2,0
2025,10,62410,130918,96664,23,86,Yes,68508,0.7087229992478201,Medium,11.4790066717666,4,Oct,1,High,2,1,1,Medium,106330.4,0.264367816091954,69.07126436781608,4,7,9,3,0,2,0,11,2,1
2025,6,74386,155478,114932,32,61,No,81092,0.7055650297505868,Medium,11.65210462886734,2,Jun,1,High,2,0,0,Low,103438.8,0.5161290322580645,45.56774193548387,3,4,8,2,3,2,1,9,2,3
2025,11,65697,100359,83028,51,90,No,34662,0.4174736233509482,Medium,11.326945223343971,4,Nov,1,High,2,0,1,Medium,91330.8,0.5604395604395604,62.87912087912088,4,8,4,10,7,3,1,2,2,1
2025,8,71674,102060,86867,24,41,Yes,30386,0.349799118188152,Medium,11.37214500408114,3,Aug,0,High,2,1,0,Low,78180.3,0.5714285714285714,41.45714285714285,3,6,6,2,3,2,1,6,1,3
2025,8,35000,70866,52700,31,70,Yes,35866,0.6805692599491353,Low,10.872389709681492,3,Aug,1,High,1,1,0,Low,47430.0,0.4366197183098591,54.12676056338028,3,13,3,11,3,1,2,14,2,3
2025,10,39509,76119,57814,24,73,No,36610,0.633237624093935,Low,10.965003536563062,4,Oct,1,High,1,0,0,Low,52032.6,0.3243243243243243,48.15135135135135,4,9,7,13,3,0,2,7,2,1
2025,7,53884,112080,82982,38,71,No,58196,0.701308717544753,Medium,11.326391046523293,3,Jul,1,High,1,0,0,Low,74683.8,0.5277777777777778,46.54444444444445,3,10,8,7,5,3,1,10,2,3
2025,3,45050,71580,58315,34,65,No,26530,0.4549429820722808,Low,10.973631777224712,1,Mar,1,High,1,0,0,Low,52483.5,0.5151515151515151,42.96969696969697,2,7,9,13,3,2,1,11,2,0
2025,2,35000,60791,46405,38,71,Yes,25791,0.5557806270756216,Low,10.745184040199312,1,Feb,1,High,1,1,0,Low,41764.5,0.5277777777777778,54.54444444444445,1,3,11,7,5,1,1,3,2,2
2025,3,52183,72031,62107,4,38,No,19848,0.3195775033358626,Low,11.03663008410106,1,Mar,0,Low,2,0,0,Low,55896.3,0.1025641025641025,32.59487179487179,2,3,11,13,3,3,2,3,0,0
2025,11,54639,84633,69636,14,75,Yes,29994,0.4307254868109782,Low,11.151051314263803,4,Nov,1,Medium,1,1,0,Low,62672.4,0.1842105263157894,57.63157894736842,4,14,2,9,1,3,2,5,2,1
2025,6,41870,79972,60921,15,69,Yes,38102,0.6254329377287727,Low,11.017349636411112,2,Jun,1,Medium,2,1,0,Low,54828.9,0.2142857142857142,58.97142857142857,3,3,11,11,3,0,0,3,2,3
2025,10,46670,101964,74317,32,61,Yes,55294,0.744028957025391,Medium,11.216108462469002,4,Oct,1,High,1,1,0,Low,66885.3,0.5161290322580645,48.56774193548387,4,5,8,13,3,0,2,0,2,1
2025,8,76803,109271,93037,12,48,Yes,32468,0.348979438284242,Medium,11.440763290830803,3,Aug,0,Medium,2,1,1,Medium,102340.7,0.2448979591836734,46.31020408163265,3,2,1,1,3,3,2,1,1,3
2025,11,59873,128285,94079,21,87,Yes,68412,0.7271760966769718,Medium,11.451900763132452,4,Nov,1,High,2,1,0,Low,84671.1,0.2386363636363636,69.72272727272725,4,8,4,4,2,0,2,2,2,1
2025,4,82443,141257,111850,16,78,Yes,58814,0.5258292355786695,Medium,11.624922907423684,2,Apr,1,Medium,2,1,1,Medium,123035.0,0.2025316455696202,64.39493670886075,2,8,4,3,0,3,0,2,2,0
2025,12,46920,96632,71776,30,69,Yes,49712,0.6925991974936944,Medium,11.181319369456498,4,Dec,1,High,1,1,1,High,89720.0,0.4285714285714285,53.54285714285714,1,9,7,8,6,0,0,7,2,2
2025,7,63912,92938,78425,33,72,No,29026,0.3701115715604704,Medium,11.269910784013607,3,Jul,1,High,2,0,0,Low,70582.5,0.4520547945205479,52.2958904109589,3,11,10,9,1,3,0,13,2,3
2025,7,82012,113254,97633,16,95,No,31242,0.3199942642311514,Medium,11.488981072393436,3,Jul,1,Medium,2,0,0,Low,87869.7,0.1666666666666666,66.66666666666667,3,2,1,4,2,3,2,1,2,3
2025,12,63879,83497,73688,31,65,Yes,19618,0.2662305938515602,Medium,11.207608813306638,4,Dec,1,High,1,1,0,Low,66319.2,0.4696969696969697,51.06060606060606,1,12,8,2,3,0,2,8,2,2
2025,5,60508,77200,68854,35,95,Yes,16692,0.2424260028430821,Low,11.139758123161226,2,May,1,High,2,1,0,Low,61968.6,0.3645833333333333,74.27083333333333,2,3,11,7,5,0,0,3,2,0
2025,9,70383,119869,95126,15,64,Yes,49486,0.5202152933948635,Medium,11.462968119910114,3,Sep,1,Medium,2,1,0,Low,85613.40000000001,0.2307692307692307,55.93846153846154,4,1,0,13,3,0,2,12,2,1
